,S5,pssm195,pssm389,pssm12,pssm189,pssm183,pssm339,pssm9,pssm116,S2,LC4.2,pssm215,pssm390,pssm72,pssm245,pssm392,LC3.2,pssm396,pssm65,pssm59,pssm52,pssm129,pssm395,pssm329,pssm112,LC8.3,pssm307,pssm311,pssm196,pssm309,pssm394,pssm182,pssm155,pssm385,pssm194,pssm382,pssm44,pssm319,pssm251,pssm327,pssm4,pssm316,pssm184,pssm199,pssm239,pssm69,pssm190,X.G1.1.1.19.,pssm119,pssm209,pssm185,pssm214,pssm109,pssm243,pssm172,pssm19,pssm305,pssm399,pssm192,pssm79,pssm287,pssm393,pssm302,pssm50,pssm40,pssm332,pssm180,pssm191,pssm300,GL3,pssm55,pssm95,pssm132,pssm143,pssm312,X.G4.3.4.2.,pssm315,pssm211,pssm92,pssm255,pssm89,pssm203,pssm91,X.G4.3.2.15.,X.G4.3.4.15.,X.G4.2.7.1.,pssm80,pssm150,pssm235,pssm204
0,1,2,2,2,2,2,3,2,3,2,2,2,2,3,2,3,1,2,2,2,2,2,2,3,3,1,3,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,1,2,3,3,3,3,4,3,3,3,4,2,2,3,0,0,1,3,3,3,3
1,2,3,2,2,1,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,1,2,2,3,3,3,2,2,2,3,2,3,3,1,2,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,1,3,3,2,3,3,4,3,3,3,2,2,3,3,3,3,1,3,2,3,3
2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,1,2,2,2,2,1,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,2,2,2,3,3,2,3,3,1,3,2,3,2,2,2,3,1,1,1,3,2,3,3
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,3,2,3,3,3,3,2,3,2,3,3,2,0,0,3,3,3,2,3
4,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,0,2,2,2,3,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,2,2,1,3,3,2,3,3,3,2,2,3,3,3,2,3,1,1,1,3,2,2,3
5,4,0,0,1,0,1,1,1,1,4,2,2,0,2,0,0,3,1,0,1,1,1,1,0,0,3,2,2,1,1,1,0,2,1,0,1,0,1,0,2,0,2,0,0,1,1,0,1,2,0,0,0,0,1,0,2,2,0,0,2,1,1,2,1,1,1,2,1,2,3,1,0,2,1,2,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0
6,4,0,0,1,0,0,1,1,1,4,1,1,1,1,0,0,3,1,0,1,0,1,1,0,0,3,2,1,0,0,1,0,2,1,0,0,0,1,0,2,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,1,2,0,0,2,1,1,2,1,2,1,1,0,2,3,2,0,1,1,2,2,2,0,0,1,0,0,1,0,0,0,0,1,1,0
7,2,2,2,2,1,2,3,2,3,2,1,2,2,3,2,3,1,2,2,2,3,1,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,3,3,2,2,3,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,3,2,2,3,1,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,0,3,2,3,3
8,3,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1
9,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1
12,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,4,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0
14,4,0,0,1,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,1,1,1,1,2,0,0,0,0
15,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,1,0,1,1,1,0,0,0,0
16,4,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,1,3,3,2,0,0,0,0
17,4,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,1,0,1,0,0
19,3,1,1,1,1,1,0,1,1,3,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,4,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,3,1,1,0,2,1,4,1,1,1,1,1,1,1,0,0,0,0,2,1,1
20,3,1,1,1,1,1,1,1,1,3,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,4,0,1,1,1,0,1,2,1,0,0,0,1,1,1,0,1,1,1,0,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1
21,3,1,1,1,1,1,2,1,2,3,1,1,1,1,1,2,3,2,2,2,1,0,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,0,2,1,1,1,1,1,1,1,4,1,1,2,1,0,1,2,0,2,1,1,2,2,2,1,1,1,2,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
22,3,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,4,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,3,1,1,0,2,1,4,1,1,1,1,1,1,1,3,3,1,1,1,2,1
23,3,0,1,1,1,1,0,0,1,3,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,4,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,4,0,1,1,1,1,1,0,0,0,1,0,1,1,1
24,3,0,1,1,1,1,0,0,1,3,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,3,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,4,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,3,1,1,0,1,1,3,0,0,1,0,1,1,1,0,0,0,0,0,0,1
25,3,1,1,1,1,1,1,1,1,4,0,1,1,2,1,1,2,1,1,1,1,0,1,0,2,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,0,1,2,0,1,0,1,2,1,1,2,1,1,2,0,1,1,3,1,0,1,1,2,3,1,1,1,2,1,1,0,1,1,2,0,1,1,0
26,3,1,1,2,1,1,1,1,2,3,1,2,1,1,1,2,3,2,2,1,1,1,2,1,1,3,1,1,1,1,2,1,1,2,1,1,1,2,0,1,2,1,2,1,1,1,1,3,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,3,1,2,1,1,1,3,2,1,2,2,1,2,2,1,1,1,2,2,1,2
27,4,1,1,0,1,1,0,1,0,3,1,1,1,0,0,0,1,0,1,1,2,2,0,2,0,4,0,1,2,2,0,1,1,0,1,1,1,0,2,1,0,1,2,1,1,2,2,4,0,1,1,2,2,2,0,1,0,1,1,0,1,0,1,2,2,0,2,1,1,4,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,3,1,2,1,1
28,4,1,1,0,1,1,0,2,0,3,1,1,1,0,0,0,0,0,1,1,1,3,1,1,0,4,0,1,1,1,0,2,1,0,1,2,1,0,2,1,0,0,1,2,1,2,2,4,0,2,2,1,2,1,0,1,0,1,2,0,0,1,1,2,1,0,2,2,1,3,1,0,2,0,0,4,1,1,0,1,2,0,0,0,0,1,1,1,1,1
29,3,1,1,0,2,1,0,1,0,3,1,0,1,0,0,1,0,0,1,1,1,2,1,1,1,3,2,1,1,1,0,2,1,0,2,1,1,1,2,1,0,1,0,1,1,2,1,4,0,2,1,1,1,2,0,1,0,1,2,0,1,0,1,2,1,1,1,2,1,4,1,0,1,0,1,4,1,2,1,2,2,1,1,1,1,2,1,1,2,1
30,4,1,1,0,2,1,0,2,0,3,1,1,1,0,0,0,0,0,1,1,1,3,1,1,1,4,1,2,1,1,0,2,1,0,2,1,0,1,2,1,0,1,1,2,1,2,2,4,0,2,2,1,2,3,0,2,0,1,2,0,1,0,2,2,2,0,2,2,1,4,1,0,1,0,0,1,1,2,0,1,1,0,1,2,2,1,1,1,2,0
31,4,1,1,0,2,1,1,1,0,3,0,0,1,0,0,0,1,0,1,1,1,3,0,2,2,3,1,1,2,2,0,2,1,0,2,1,1,0,3,0,1,1,1,2,1,2,2,3,0,2,2,2,2,0,0,1,0,1,2,0,1,0,1,2,1,0,1,2,1,3,1,0,2,0,0,4,1,2,1,1,3,0,1,3,3,2,1,1,1,1
32,4,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,1,0,0,1,1,2,2,0,1,0,0,1
33,0,4,4,3,4,4,3,4,4,0,3,4,4,3,3,4,1,3,4,4,3,4,4,3,4,0,4,4,3,4,3,4,3,4,4,4,2,3,4,3,3,3,3,4,4,4,4,1,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,4,4,3,4,4,4,0,4,2,4,4,3,0,4,4,2,3,2,4,3,3,3,3,2,4,4,4
34,3,2,1,2,1,2,1,0,2,3,0,2,1,1,2,1,0,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,1,2,1,1,2,2,0,1,1,1,2,2,1,1,2,1,2,2,0,2,0,1,1,2,2,1,1,1,2,0,1,1,4,2,2,1,1,2,2,1,1,2,2,2,0,2,0,0,4,2,2,1,2
35,0,4,4,4,4,2,4,4,3,0,4,4,4,2,4,4,4,3,2,3,4,2,4,4,4,0,3,3,4,4,3,3,4,3,3,3,3,4,3,3,4,4,4,4,3,2,4,0,3,4,3,3,3,3,3,4,3,4,4,2,3,4,3,3,3,4,4,3,4,0,3,4,3,2,4,0,4,2,4,4,4,2,3,0,0,0,4,4,3,4
36,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,4,2,3,3,3,2,3,2,3,2,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3
37,4,0,1,0,0,0,1,0,2,4,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,1,2,1,0,0,1,2,1,0,2,1,1,0,1,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0
38,3,2,2,0,2,2,2,1,1,4,0,1,2,2,1,2,3,2,2,1,1,2,1,2,2,3,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,3,2,2,2,2,0,1,2,2,2,2,3,2,1,1,2,2,2,0,1,0,2,0,2,1,2,0,4,0,2,1,1,1,2,1,2,3,1,3,2,2,2,2,4,2,2,2,2
39,2,2,3,1,3,2,2,2,0,3,0,1,2,0,0,2,3,3,0,3,1,2,2,3,1,0,1,2,2,2,3,2,2,1,3,2,4,2,1,1,2,2,2,2,2,3,2,2,1,2,2,1,2,0,1,2,0,3,2,2,3,2,2,1,2,2,2,3,1,3,3,2,0,3,1,1,1,2,2,1,3,0,2,3,3,3,1,0,2,1
40,2,2,2,3,2,3,2,3,2,1,4,2,2,2,2,2,3,4,2,3,3,2,3,2,2,2,3,3,3,3,2,3,3,2,2,4,2,2,2,4,2,2,1,3,3,3,1,1,2,1,0,1,0,3,3,4,2,3,1,4,3,2,1,2,4,2,3,0,3,1,2,2,2,2,2,2,3,1,1,2,1,3,1,2,2,1,2,3,2,2
41,0,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,2,2,3,4,4,4,4
42,3,1,1,2,2,0,1,0,1,1,2,0,0,1,2,1,4,0,1,0,1,2,1,0,1,2,2,1,0,1,1,1,1,2,0,1,2,1,2,0,2,1,2,1,0,1,1,1,0,1,1,0,1,1,1,0,2,0,1,1,0,0,1,0,0,1,0,2,1,2,1,2,1,1,1,4,2,1,3,2,2,0,2,1,1,1,2,0,1,2
43,2,4,3,2,3,3,4,3,3,4,1,3,3,3,3,3,1,4,3,3,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,4,4,3,2,4,3,3,4,3,3,0,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,3,3,3,3,1,4,3,2,3,3,3,3,3,3,4,2,2,3,2
44,1,3,3,3,3,2,3,3,3,1,2,3,3,3,3,3,2,3,3,2,4,3,3,3,3,0,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,3,4,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,1,3,3,3,2,3,1,2,3,3,4,3,2,3,2,2,0,3,3,3,3
45,1,3,3,3,0,1,3,3,3,1,4,3,4,1,4,2,4,3,3,3,1,3,4,2,1,1,4,1,2,2,2,1,3,3,3,3,2,3,2,3,3,2,1,2,3,1,2,0,3,1,1,2,3,2,2,4,3,4,0,2,4,3,3,2,2,2,3,1,3,1,1,1,1,2,2,2,2,2,0,2,0,3,2,1,1,2,3,3,1,2
46,1,3,3,3,3,3,3,3,3,1,3,3,3,4,3,3,2,3,3,4,4,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,4,3,3,3,1,3,4,3,2,3,2,3,3,4,3,4,3,3,1,1,3,4,3,3,3
47,1,3,4,4,4,3,4,4,3,2,4,4,4,4,3,4,1,4,3,4,3,4,3,3,3,2,4,3,4,3,4,3,4,3,4,3,3,4,3,4,4,3,3,4,4,3,4,1,4,3,3,4,3,4,3,4,3,4,3,4,4,4,3,3,3,4,4,3,4,2,3,3,3,4,3,1,3,3,3,3,3,4,3,3,3,2,4,4,3,3
48,1,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,3,3,3,4,4,4,4
49,1,2,2,3,2,2,3,3,2,0,3,2,2,2,2,2,2,4,2,3,2,1,3,2,2,2,3,2,3,3,2,3,3,2,2,4,2,2,1,4,2,2,1,3,2,3,1,1,2,1,1,3,1,1,2,4,2,3,1,3,4,2,1,2,4,2,4,0,2,1,1,2,2,2,2,3,3,2,0,2,1,2,0,3,3,3,2,3,1,2
