,S5,pssm195,pssm389,pssm12,pssm189,pssm183,pssm339,pssm9,pssm116,S2,LC4.2,pssm215,pssm390,pssm72,pssm245,pssm392,LC3.2,pssm396,pssm65,pssm59,pssm52,pssm129,pssm395,pssm329,pssm112,LC8.3,pssm307,pssm311,pssm196,pssm309,pssm394,pssm182,pssm155,pssm385,pssm194,pssm382,pssm44,pssm319,pssm251,pssm327,pssm4,pssm316,pssm184,pssm199,pssm239,pssm69,pssm190,X.G1.1.1.19.,pssm119,pssm209,pssm185,pssm214,pssm109,pssm243,pssm172,pssm19,pssm305,pssm399,pssm192,pssm79,pssm287,pssm393,pssm302,pssm50,pssm40,pssm332,pssm180,pssm191,pssm300,GL3,pssm55,pssm95,pssm132,pssm143,pssm312,X.G4.3.4.2.,pssm315,pssm211,pssm92,pssm255,pssm89,pssm203,pssm91,X.G4.3.2.15.,X.G4.3.4.15.,X.G4.2.7.1.,pssm80,pssm150,pssm235,pssm204
50,1,3,2,3,3,3,2,2,3,0,2,3,3,2,3,2,3,2,4,2,2,3,2,3,3,0,3,2,2,2,2,2,3,3,2,2,4,2,2,2,4,3,2,2,3,2,4,4,3,3,3,3,4,2,3,2,3,2,2,3,2,2,3,3,3,2,2,2,3,0,2,2,3,2,2,3,2,4,2,2,2,3,4,3,3,0,2,2,3,4
51,1,3,3,2,3,3,2,3,3,0,4,3,3,3,3,2,3,2,3,2,3,3,2,3,3,0,2,3,3,3,2,3,2,3,2,3,2,2,3,2,2,2,3,3,3,3,3,3,3,4,3,3,3,2,1,2,3,2,3,2,2,3,3,3,3,2,3,3,3,0,3,2,3,3,2,1,3,4,2,2,2,3,3,1,1,4,2,2,3,3
52,0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,0,4,3,4,3,4,0,4,4,3,4,3,4,4,3,3,2,3,3,4,3
53,1,3,3,3,3,2,2,3,3,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,3,3,3,2,3,3,3,3,3,2,3,2,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,2,2,3,3,4,4,2,4,3,3,1,3,3,3,3
54,0,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,3,4,4,4,1,1,2,4,4,4,4
55,2,2,2,0,3,3,1,2,1,2,3,2,2,2,0,2,4,1,1,2,2,3,2,2,1,0,2,3,2,2,1,3,1,1,1,2,0,1,2,0,0,1,1,2,3,3,2,0,2,3,3,1,2,1,0,0,1,1,2,1,1,2,3,3,1,1,1,4,0,3,2,1,1,3,1,1,2,3,1,0,0,2,3,3,3,4,0,2,3,0
56,1,2,3,2,3,2,3,2,2,2,4,3,3,3,2,2,4,3,3,3,2,2,2,4,2,1,2,2,2,3,3,2,3,2,3,2,4,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,3,3,3,2,2,3,3,3,2,2,3,2,2,2,2,2,2,1,3,3,2,4,2,1,2,2,3,3,3,2,3,1,1,2,2,2,2,2
57,1,2,3,3,3,3,2,3,2,1,3,2,2,3,3,4,4,2,3,3,3,2,2,2,3,1,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,3,3,2,3,3,1,3,2,2,2,2,3,3,3,3,2,4,3,3,2,2,3,2,3,2,2,2,1,2,3,3,2,3,1,2,2,4,3,3,3,3,3,3,4,3,2,3,3
58,1,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,2,2,3,4,4,4,4
59,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,0,0,4,4,4,4,4
60,0,3,3,4,3,3,3,3,4,0,3,3,3,4,4,3,3,3,4,3,4,3,3,3,4,0,3,4,3,3,3,4,2,3,3,3,4,3,3,3,4,4,4,3,3,3,3,0,4,3,4,3,4,3,4,3,4,3,3,3,2,3,4,4,3,4,3,4,3,0,4,4,4,2,4,2,3,3,4,4,4,3,4,2,2,4,4,2,4,4
61,0,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,4,4,2,2,4,4,4,4,4
62,2,2,3,1,3,2,2,2,1,2,0,1,2,1,1,2,2,3,0,3,2,2,2,3,0,0,2,2,2,3,3,2,2,2,3,2,4,2,2,1,2,2,2,2,2,3,2,2,2,2,3,1,2,0,2,2,1,3,1,3,3,2,2,1,2,1,2,3,1,2,3,2,0,3,2,4,1,2,2,2,4,1,2,3,3,1,1,1,2,1
63,2,4,4,2,4,4,4,3,3,4,2,3,3,3,2,3,0,3,3,3,3,4,3,4,3,4,3,3,4,4,3,3,3,3,4,3,3,4,4,3,2,3,3,3,4,3,3,0,3,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,3,3,2,3,3,3,3,1,1,4,2,2,3,2
64,2,3,2,1,3,3,2,1,1,1,4,1,1,2,0,1,2,1,2,1,2,2,2,3,2,1,2,2,3,2,0,2,2,0,0,1,2,1,2,2,0,1,2,2,2,1,2,1,0,2,1,0,1,2,2,0,1,0,2,1,0,2,2,1,1,1,2,2,1,0,2,2,2,2,2,1,2,2,3,1,3,1,2,3,3,2,3,0,2,2
65,1,3,3,4,3,3,3,3,3,1,4,3,3,3,3,4,2,3,3,4,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,4,3,0,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,1,3,4,3,3,3,1,3,3,4,3,4,3,4,3,3,4,4,3,3,3
66,2,2,2,3,2,3,3,4,2,1,4,2,2,2,1,2,2,4,3,3,2,1,3,2,2,2,3,2,3,3,2,3,3,2,2,4,3,3,2,4,2,2,1,3,2,3,2,1,3,1,1,2,1,1,3,4,2,3,1,3,4,2,1,2,4,2,3,0,2,1,2,2,2,2,2,1,3,1,0,3,1,2,1,2,2,4,2,3,2,2
67,1,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,1,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,2,3
68,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,4,4,4,4,4,4,4,2,2,4,4,4,4,4
69,0,4,4,3,4,4,4,4,4,0,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,0,4,3,4,4,4,0,4,4,2,3,3,4,4,3,3,2,3,3,4,2
70,3,0,1,1,2,0,0,1,1,0,3,0,0,0,1,1,4,0,0,1,1,2,0,0,1,0,1,1,0,0,0,1,2,1,0,0,2,0,0,0,1,1,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,2,0,1,1,3,1,0,2,0,2,0,2,0,0,4,2,0,0,2
71,0,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,4,4,3,3,3,4,4,4,4
72,1,3,3,3,1,2,3,3,3,1,4,3,3,1,4,2,3,3,3,3,2,3,4,2,2,2,4,2,2,2,2,2,3,3,2,3,2,3,4,3,3,2,2,2,3,2,2,0,3,2,2,2,3,2,1,4,4,3,1,2,4,3,3,2,2,2,3,2,3,1,2,2,2,2,2,3,2,3,1,2,1,3,2,1,1,4,3,3,2,3
73,0,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,4,4,3,3,2,4,4,4,4
74,3,1,1,2,1,0,1,1,1,0,4,0,0,1,2,1,4,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,2,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,2,1,0,0,2,1,1,1,4,1,1,2,1,2,0,2,3,3,2,2,0,0,2
75,1,3,3,3,2,3,3,3,3,1,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3
76,2,2,2,0,3,4,1,1,1,2,4,2,2,3,1,1,3,1,1,2,3,3,1,1,1,0,2,3,2,2,1,3,0,0,1,2,1,1,2,0,0,0,1,1,3,3,3,0,0,3,3,0,2,0,0,0,1,1,2,1,0,2,2,3,1,1,2,4,0,3,2,1,2,3,1,1,2,3,1,0,1,2,2,3,3,3,0,1,3,0
77,0,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,2,2,2,4,4,4,4
78,2,4,3,2,3,3,3,3,3,4,2,3,3,3,3,3,0,3,3,3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,0,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,2,2,3,2
79,0,3,3,4,3,3,4,3,4,0,4,4,3,4,4,3,2,3,4,3,4,3,3,3,4,0,3,4,3,3,4,4,3,4,3,3,4,3,3,3,4,4,4,3,3,4,3,2,4,3,4,3,4,4,4,3,4,3,4,3,2,3,4,4,3,4,3,4,3,0,4,4,4,3,4,1,3,4,4,4,4,3,4,2,2,3,4,3,4,4
80,0,3,4,4,4,1,3,4,3,0,4,4,4,2,3,4,4,3,2,3,3,2,3,3,3,1,3,3,3,4,3,3,4,3,3,3,2,4,3,3,4,3,4,4,2,1,4,4,3,4,3,3,3,2,3,3,3,3,4,1,2,4,3,3,2,4,4,2,4,0,3,3,2,2,4,0,4,2,4,4,4,2,2,3,3,0,3,4,3,4
81,0,4,3,4,4,4,4,3,4,2,2,3,3,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,2,2,3,4,4,4,4
82,0,4,4,3,4,4,3,4,4,0,2,4,4,3,3,4,2,2,4,4,3,4,3,3,4,0,4,4,3,3,3,4,3,4,4,3,2,3,3,3,3,3,2,4,3,4,4,1,4,4,4,4,4,4,3,3,4,4,4,4,2,3,3,4,3,3,4,4,4,0,4,2,3,4,3,1,3,4,1,3,2,4,2,3,3,3,1,4,4,4
83,0,3,2,3,2,3,2,3,3,0,4,3,3,3,2,3,3,2,3,2,2,3,2,2,3,0,3,3,2,2,1,2,2,2,1,2,1,2,2,3,3,2,2,2,2,4,3,1,3,3,3,3,3,4,3,3,3,2,3,3,1,1,2,2,2,2,3,2,3,0,2,2,4,4,2,0,2,3,2,3,2,4,2,3,3,4,3,3,3,3
84,0,4,4,4,4,4,4,4,4,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,3,4,4,4,0,4,4,3,4,3,4,4,2,2,4,3,4,4,4
85,2,1,3,2,2,3,3,2,2,1,2,2,2,3,3,2,2,2,2,2,2,1,2,2,0,2,2,1,2,1,2,1,2,2,2,2,2,2,0,2,3,3,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,3,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,3,0,0,0,1,3,1,1,1
86,0,3,4,4,3,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,3,4,4,4,4,0,4,4,4,4,4,4,4,3,3,2,4,4,4,4
87,0,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,4,4,3,3,3,4,4,4,4
88,2,1,2,2,2,1,1,1,1,2,2,1,0,3,1,2,1,2,1,2,1,1,2,1,2,0,0,3,1,1,1,1,1,2,1,2,2,1,1,0,1,1,1,2,2,1,1,1,1,2,1,0,1,2,1,2,1,2,2,2,0,0,2,1,2,0,1,1,2,2,1,0,3,0,1,2,1,2,2,1,1,2,0,3,3,2,2,0,2,0
89,3,1,0,3,0,1,1,2,0,1,4,2,1,0,0,0,2,0,0,1,0,0,2,1,0,3,1,0,1,1,2,3,1,0,1,3,2,2,0,3,2,3,0,0,1,0,0,0,1,0,0,1,0,0,3,2,0,0,0,1,1,2,2,1,3,0,0,1,2,0,3,0,0,2,2,4,2,0,2,1,1,0,0,2,2,1,1,1,2,0
90,1,3,3,3,3,4,3,2,4,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,1,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,4,3,3,3,4,2,3,2,3,3,3,4,4,4,3,3,3,3,3,2,4,3,3,3,4,0,4,3,3,3,3,4,3,3,3,2,3,3,4,3
91,2,2,1,2,2,2,1,2,2,0,2,3,2,2,3,1,4,1,3,2,2,3,2,2,3,0,1,3,2,2,2,2,1,3,2,2,1,2,2,0,0,2,0,1,2,2,2,2,2,3,3,3,3,3,1,1,3,0,2,2,2,1,2,3,2,2,2,3,2,0,2,1,3,1,2,4,2,3,1,1,1,3,2,3,3,3,0,2,2,1
92,3,2,2,0,1,2,2,0,2,3,0,2,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,3,1,2,2,2,1,2,2,2,1,1,1,1,3,2,1,2,2,2,1,2,0,2,1,1,1,2,3,2,1,1,1,0,1,1,3,2,3,0,1,2,1,2,1,3,1,2,1,2,3,3,4,2,1,2,2
93,1,2,1,2,2,3,2,2,2,0,3,2,2,2,2,1,4,2,2,3,3,3,3,2,2,0,2,2,3,3,1,3,0,2,1,4,1,2,3,2,2,1,3,2,2,2,2,0,2,2,2,2,3,2,2,3,2,2,2,3,1,1,1,3,3,2,3,3,2,0,2,1,4,1,2,2,1,2,2,1,2,3,2,3,3,3,2,4,1,2
94,1,1,2,0,3,2,2,2,0,0,3,2,3,0,0,3,4,1,0,0,0,0,0,1,0,0,2,0,1,2,1,0,2,0,2,0,0,1,1,2,1,0,2,3,0,2,3,4,0,3,0,2,0,1,0,2,0,2,3,0,3,3,0,1,0,1,2,1,0,0,0,0,0,0,0,4,0,1,1,0,2,1,0,0,0,0,0,3,0,1
95,2,1,2,2,1,0,0,1,2,0,3,1,1,2,0,1,4,1,1,0,2,1,1,0,2,0,1,1,1,0,1,1,0,1,2,0,0,0,1,2,2,0,2,1,1,0,1,4,2,1,1,1,2,0,0,1,0,2,1,0,0,0,1,1,3,1,2,1,1,0,1,1,2,0,1,4,1,1,0,2,1,0,1,3,3,0,1,0,0,1
96,1,3,2,3,3,3,2,3,3,2,2,3,3,4,2,3,3,3,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,4,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,4,3,3,3,2,4,3,3,3,2,3,3,0,4,4,2,3
97,4,0,0,1,0,0,1,1,1,4,0,0,2,1,2,1,4,0,0,1,1,2,0,1,1,4,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,3,1,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,1,4,0,0,0,1,2,3,0,0,0,2,0,1,0,1,1,4,0,1,0,0
98,4,1,1,1,1,1,1,1,0,4,0,1,0,1,1,2,0,1,2,1,2,1,1,1,2,4,0,0,1,1,0,1,0,0,0,1,1,1,1,2,1,0,1,0,1,0,0,2,1,0,1,0,1,1,1,0,1,0,2,0,0,0,2,1,1,1,0,1,0,4,0,1,2,1,1,2,0,1,2,0,1,0,1,3,3,2,0,0,0,1
99,3,1,0,1,0,1,0,0,2,3,1,1,0,2,3,1,4,0,1,0,1,0,0,1,2,2,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,2,1,0,0,1,0,4,0,0,1,1,1,3,2,0,1,0,1,1,1,0,1,0,0,2,0,0,0,2,2,1,1,1,1,4,1,0,2,2,1,1,1,3,3,0,1,1,1,2
100,4,1,0,0,1,0,1,1,1,3,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,1,0,0,2,0,1,0,0,0,1,0,2,2,3,0,1,1,0
101,3,2,0,1,0,1,0,0,1,3,1,1,0,1,2,1,4,1,1,0,1,0,0,1,2,1,0,1,1,1,1,1,0,0,0,0,2,0,1,1,0,2,1,0,0,1,0,4,0,0,1,1,1,3,2,0,1,0,2,1,3,0,1,0,0,2,0,0,0,2,2,2,1,1,1,2,1,0,2,2,1,1,1,3,3,0,1,1,1,2
102,3,0,0,3,0,0,2,2,1,2,0,1,2,1,2,2,3,2,1,0,0,0,1,0,1,2,1,0,0,0,2,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,3,1,0,0,2,0,1,1,2,0,1,1,1,2,1,0,0,0,1,1,0,2,2,0,0,0,2,0,4,0,0,2,2,0,2,0,0,0,0,2,3,0,1
103,3,0,0,1,0,2,2,1,2,1,1,1,1,2,2,1,0,1,2,0,0,1,1,1,1,1,1,1,0,0,2,0,1,2,2,0,0,2,1,1,2,1,1,0,2,1,1,4,2,0,0,2,2,1,1,2,2,2,0,1,2,3,0,0,0,1,0,1,2,2,0,1,2,1,0,1,1,1,1,1,0,2,1,2,2,1,1,1,0,0
